BoreID,HydroCode,FromDepth,ToDepth,TopElev,BottomElev,ConstructionType,Material,InnerDiameter,OuterDiameter,Property,PropertySize,DrillMethod,LogType,geometry
10107226,GW004167.1.1,129.8,130.4,-38.22,-38.82,INLT,UNK,,127.0,UNK,,UNK,1,
10107226,GW004167.1.1,137.2,137.8,-45.62,-46.22,INLT,UNK,,127.0,UNK,,UNK,1,
10107226,GW004167.1.1,143.3,143.9,-51.72,-52.32,INLT,UNK,,127.0,UNK,,UNK,1,
10107226,GW004167.1.1,149.4,150.0,-57.82,-58.42,INLT,UNK,,127.0,UNK,,UNK,1,
10107226,GW004167.1.1,157.0,157.6,-65.42,-66.02,INLT,UNK,,127.0,UNK,,UNK,1,
10107226,GW004167.1.1,164.6,165.2,-73.02,-73.62,INLT,UNK,,127.0,UNK,,UNK,1,
10107226,GW004167.1.1,172.2,172.8,-80.62,-81.22,INLT,UNK,,127.0,UNK,,UNK,1,
10107226,GW004167.1.1,176.8,177.4,-85.22,-85.82,INLT,UNK,,127.0,UNK,,UNK,1,
10135152,GW004181.1.1,0.0,30.5,137.81,107.31,LIN,UNK,,152.0,UNK,,UNK,1,
10135152,GW004181.1.1,0.0,57.3,137.81,80.51,LIN,UNK,,203.0,UNK,,UNK,1,
10135152,GW004181.1.1,0.0,499.6,137.81,-361.79,LIN,UNK,,152.0,UNK,,UNK,1,
10135152,GW004181.1.1,37.8,509.0,100.01,-371.19,LIN,UNK,,114.3,UNK,,UNK,1,
10135152,GW004181.1.1,410.0,419.0,-272.19,-281.19,INLT,UNK,,114.3,UNK,,UNK,1,
10135152,GW004181.1.1,482.0,509.0,-344.19,-371.19,INLT,UNK,,114.3,UNK,,UNK,1,
10135152,GW004181.1.1,504.6,509.0,-366.79,-371.19,UNK,UNK,,125.0,UNK,,HMR,1,
10141057,GW021322.1.1,0.1,643.0,131.59,-511.31,LIN,UNK,,162.0,UNK,,UNK,1,
10141057,GW021322.1.1,0.2,100.9,131.49,30.79,LIN,UNK,,203.0,UNK,,UNK,1,
10141057,GW021322.1.1,378.3,379.2,-246.61,-247.51,INLT,UNK,,162.0,UNK,,UNK,1,
10141057,GW021322.1.1,420.3,421.2,-288.61,-289.51,INLT,UNK,,162.0,UNK,,UNK,1,
10141057,GW021322.1.1,485.5,486.3,-353.81,-354.61,INLT,UNK,,162.0,UNK,,UNK,1,
10141057,GW021322.1.1,616.6,617.8,-484.91,-486.11,INLT,UNK,,162.0,UNK,,UNK,1,
10141057,GW021322.1.1,622.7,623.3,-491.01,-491.61,INLT,UNK,,162.0,UNK,,UNK,1,
10141057,GW021322.1.1,642.5,643.1,-510.81,-511.41,INLT,UNK,,162.0,UNK,,UNK,1,
10142094,GW021327.1.1,0.0,152.4,120.0,-32.4,LIN,UNK,,152.0,UNK,,UNK,1,
10142094,GW021327.1.1,0.0,67.4,120.0,52.6,LIN,UNK,,203.0,UNK,,UNK,1,
10142094,GW021327.1.1,0.0,67.4,120.0,52.6,LIN,UNK,,203.0,UNK,,UNK,1,
10035526,GW020493.1.1,0.0,63.4,90.0,26.6,LIN,UNK,,152.0,UNK,,UNK,1,
10035526,GW020493.1.1,0.0,45.7,90.0,44.3,LIN,UNK,,203.0,UNK,,UNK,1,
10072341,GW010579.1.1,0.0,68.8,86.0,17.2,LIN,UNK,,127.0,UNK,,UNK,1,
10072341,GW010579.1.1,0.0,43.8,86.0,42.2,LIN,UNK,,152.0,UNK,,UNK,1,
10004232,GW010580.1.1,0.0,99.5,92.0,-7.5,LIN,UNK,,152.0,UNK,,UNK,1,
10090703,GW017238.1.1,0.0,22.4,79.29,56.89,LIN,UNK,,152.0,UNK,,UNK,1,
10090703,GW017238.1.1,21.9,24.9,57.39,54.39,INLT,UNK,,102.0,UNK,,UNK,1,
10089222,GW004087.1.1,0.0,69.1,91.7,22.6,LIN,UNK,,152.0,UNK,,UNK,1,
10062095,GW014458.1.1,0.0,46.3,86.0,39.7,LIN,UNK,,152.0,UNK,,UNK,1,
10121915,GW014524.1.1,0.0,91.4,114.97,23.57,LIN,UNK,,152.0,UNK,,UNK,1,
10121915,GW014524.1.1,0.0,9.1,114.97,105.87,LIN,UNK,,203.0,UNK,,UNK,1,
10121915,GW014524.1.1,0.0,120.3,114.97,-5.33,LIN,UNK,,203.0,UNK,,UNK,1,
10139854,GW021391.1.1,0.0,134.1,125.63,-8.47,LIN,UNK,,152.0,UNK,,UNK,1,
10139854,GW021391.1.1,0.0,130.4,125.63,-4.77,LIN,UNK,,203.0,UNK,,UNK,1,
10130901,GW015695.1.1,0.0,192.4,106.0,-86.4,LIN,UNK,,127.0,UNK,,UNK,1,
10130901,GW015695.1.1,0.0,75.5,106.0,30.5,LIN,UNK,,152.0,UNK,,UNK,1,
10133966,GW015289.1.1,0.0,62.3,114.0,51.7,LIN,UNK,,152.0,UNK,,UNK,1,
10000457,GW004269.1.1,0.0,94.2,110.0,15.8,LIN,UNK,,152.0,UNK,,UNK,1,
10082340,GW006272.1.1,0.0,34.4,184.0,149.6,LIN,UNK,,152.0,UNK,,UNK,1,
10001002,GW004138.1.1,0.0,184.7,95.19,-89.51,LIN,UNK,,102.0,UNK,,UNK,1,
10103910,GW004153.1.1,0.0,202.7,96.39,-106.31,LIN,UNK,,102.0,UNK,,UNK,1,
10145318,GW014588.1.1,0.0,384.1,135.0,-249.1,LIN,UNK,,162.0,UNK,,UNK,1,
10145318,GW014588.1.1,0.0,86.6,135.0,48.4,LIN,UNK,,203.0,UNK,,UNK,1,
10145318,GW014588.1.1,0.3,86.6,134.7,48.4,LIN,UNK,,203.0,UNK,,UNK,1,
10134580,GW017679.1.1,0.0,318.8,130.09,-188.71,LIN,UNK,,162.0,UNK,,UNK,1,
10134580,GW017679.1.1,0.0,93.1,130.09,36.99,LIN,UNK,,203.0,UNK,,UNK,1,
10134580,GW017679.1.1,0.0,566.9,130.09,-436.81,LIN,UNK,,162.0,UNK,,UNK,1,
10050763,GW017698.1.1,0.0,100.6,130.83,30.23,LIN,UNK,,127.0,UNK,,UNK,1,
10129241,GW017704.1.1,0.0,646.5,132.09,-514.41,LIN,UNK,,152.0,UNK,,UNK,1,
10129241,GW017704.1.1,0.0,108.8,132.09,23.29,LIN,UNK,,203.0,UNK,,UNK,1,
10129241,GW017704.1.1,0.0,646.5,132.09,-514.41,LIN,UNK,,152.0,UNK,,UNK,1,
10129241,GW017704.1.1,489.2,490.7,-357.11,-358.61,INLT,UNK,,152.0,UNK,,UNK,1,
10146729,GW015757.1.1,0.0,431.3,120.0,-311.3,LIN,UNK,,162.0,UNK,,UNK,1,
10146729,GW015757.1.1,0.0,89.0,120.0,31.0,LIN,UNK,,203.0,UNK,,UNK,1,
