BoreID,HydroCode,FromDepth,ToDepth,TopElev,BottomElev,HGUID,HGUNumber,NafHGUNumber,NafHGUName,Description,Author,Source,Comment,GA_UNIT,GA_STRATNO,geometry
10032308.0,GW035058.1.1,10.66,17.98,63.34,56.02,11000023.0,110007.0,110008.0,Renmark Group,Sandstone,UNK,UNK,,Renmark Group,16036,
10032308.0,GW035058.1.1,17.98,19.5,56.02,54.5,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Clay,UNK,UNK,,Loxton Sand,10825,
10032308.0,GW035058.1.1,17.98,19.5,56.02,54.5,11000023.0,110007.0,110008.0,Renmark Group,Clay,UNK,UNK,,Renmark Group,16036,
10032308.0,GW035058.1.1,19.5,19.59,54.5,54.41,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Sand,UNK,UNK,,Loxton Sand,10825,
10032308.0,GW035058.1.1,19.5,19.59,54.5,54.41,11000023.0,110007.0,110008.0,Renmark Group,Sand,UNK,UNK,,Renmark Group,16036,
10032308.0,GW035058.1.1,19.59,28.74,54.41,45.26,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Clay,UNK,UNK,,Loxton Sand,10825,
10032308.0,GW035058.1.1,19.59,28.74,54.41,45.26,11000023.0,110007.0,110008.0,Renmark Group,Clay,UNK,UNK,,Renmark Group,16036,
10032308.0,GW035058.1.1,28.74,38.4,45.26,35.6,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Clay,UNK,UNK,,Loxton Sand,10825,
10032308.0,GW035058.1.1,28.74,38.4,45.26,35.6,11000023.0,110007.0,110008.0,Renmark Group,Clay,UNK,UNK,,Renmark Group,16036,
10032308.0,GW035058.1.1,38.4,50.59,35.6,23.41,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Sand,UNK,UNK,,Loxton Sand,10825,
10032308.0,GW035058.1.1,38.4,50.59,35.6,23.41,11000023.0,110007.0,110008.0,Renmark Group,Sand,UNK,UNK,,Renmark Group,16036,
10036777.0,GW035405.1.1,0.0,0.6,66.74,66.14,11000018.0,100131.0,100003.0,"Quaternary alluvial, lacustrine and colluvial sediments

",Soil,UNK,UNK,,,-999999,
10036777.0,GW035405.1.1,0.6,10.66,66.14,56.08,11000018.0,100131.0,100003.0,"Quaternary alluvial, lacustrine and colluvial sediments

",Clay,UNK,UNK,,,-999999,
10036777.0,GW035405.1.1,10.66,16.76,56.08,49.98,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Clay,UNK,UNK,,Loxton Sand,10825,
10036777.0,GW035405.1.1,10.66,16.76,56.08,49.98,11000023.0,110007.0,110008.0,Renmark Group,Clay,UNK,UNK,,Renmark Group,16036,
10036777.0,GW035405.1.1,16.76,21.33,49.98,45.41,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Clay,UNK,UNK,,Loxton Sand,10825,
10036777.0,GW035405.1.1,16.76,21.33,49.98,45.41,11000023.0,110007.0,110008.0,Renmark Group,Clay,UNK,UNK,,Renmark Group,16036,
10036777.0,GW035405.1.1,21.33,24.38,45.41,42.36,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Clay,UNK,UNK,,Loxton Sand,10825,
10036777.0,GW035405.1.1,21.33,24.38,45.41,42.36,11000023.0,110007.0,110008.0,Renmark Group,Clay,UNK,UNK,,Renmark Group,16036,
10036777.0,GW035405.1.1,24.38,28.95,42.36,37.79,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Silt,UNK,UNK,,Loxton Sand,10825,
10036777.0,GW035405.1.1,24.38,28.95,42.36,37.79,11000023.0,110007.0,110008.0,Renmark Group,Silt,UNK,UNK,,Renmark Group,16036,
10036777.0,GW035405.1.1,28.95,35.05,37.79,31.69,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Sand,UNK,UNK,,Loxton Sand,10825,
10036777.0,GW035405.1.1,28.95,35.05,37.79,31.69,11000023.0,110007.0,110008.0,Renmark Group,Sand,UNK,UNK,,Renmark Group,16036,
10045062.0,GW088214.1.1,0.0,0.5,100.28,99.78,11000018.0,100131.0,100003.0,"Quaternary alluvial, lacustrine and colluvial sediments

",Clay,UNK,UNK,,,-999999,
10045062.0,GW088214.1.1,0.5,1.0,99.78,99.28,11000018.0,100131.0,100003.0,"Quaternary alluvial, lacustrine and colluvial sediments

",Sandy Clay,UNK,UNK,,,-999999,
10045062.0,GW088214.1.1,1.0,3.0,99.28,97.28,11000018.0,100131.0,100003.0,"Quaternary alluvial, lacustrine and colluvial sediments

",Clay,UNK,UNK,,,-999999,
10045062.0,GW088214.1.1,3.0,3.5,97.28,96.78,11000018.0,100131.0,100003.0,"Quaternary alluvial, lacustrine and colluvial sediments

",Clay,UNK,UNK,,,-999999,
10045793.0,GW007807.1.1,0.0,0.61,110.0,109.39,11000005.0,100128.0,100018.0,"Stuarts Point - Upper Quaternary Sands
",Soil,UNK,UNK,,,-999999,
10045793.0,GW007807.1.1,0.61,18.29,109.39,91.71,11000005.0,100128.0,100018.0,"Stuarts Point - Upper Quaternary Sands
",Clay,UNK,UNK,,,-999999,
10045793.0,GW007807.1.1,18.29,21.34,91.71,88.66,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Sandstone,UNK,UNK,,Loxton Sand,10825,
10045793.0,GW007807.1.1,18.29,21.34,91.71,88.66,11000023.0,110007.0,110008.0,Renmark Group,Sandstone,UNK,UNK,,Renmark Group,16036,
10045793.0,GW007807.1.1,21.34,24.38,88.66,85.62,11000023.0,110007.0,110008.0,"Loxton Parilla Sand
",Clay,UNK,UNK,,Loxton Sand,10825,
