BoreID,HydroCode,RefElev,RefElevDesc,FromDepth,ToDepth,TopElev,BottomElev,HGUID,HGUNumber,NafHGUNumber,Description,Author,Source,Comment,Scenario,LogType,HydroID,NafHGUName,GA_UNIT,GA_STRATNO
10099093,GW003406.1.1,75.84,UNK,36.88,57.3,38.96,18.54,11000023,110007,110008,Clay,UNK,UNK,,0,1,11000023,Loxton Parilla Sand,Loxton Sand,10825
10099093,GW003406.1.1,75.84,UNK,36.88,57.3,38.96,18.54,11000023,110007,110008,Clay,UNK,UNK,,0,1,11000023,Renmark Group,Renmark Group,16036
10099093,GW003406.1.1,75.84,UNK,57.3,58.52,18.54,17.32,11000024,115028,115024,Sand,UNK,UNK,,0,1,11000024,Lower Renmark Group,Renmark Group,16036
10079539,GW003671.1.1,71.8,UNK,0,9.14,71.8,62.66,11000014,104011,104010,Clay,UNK,UNK,,0,1,11000014,Shepparton Formation,Shepparton Formation,25474
10079539,GW003671.1.1,71.8,UNK,9.14,24.69,62.66,47.11,11000014,104011,104010,Clay,UNK,UNK,,0,1,11000014,Shepparton Formation,Shepparton Formation,25474
10079539,GW003671.1.1,71.8,UNK,24.69,36.88,47.11,34.92,11000023,110007,110008,Sand,UNK,UNK,,0,1,11000023,Loxton Parilla Sand,Loxton Sand,10825
10079539,GW003671.1.1,71.8,UNK,24.69,36.88,47.11,34.92,11000023,110007,110008,Sand,UNK,UNK,,0,1,11000023,Renmark Group,Renmark Group,16036
10079539,GW003671.1.1,71.8,UNK,36.88,39.62,34.92,32.18,11000023,110007,110008,Sand,UNK,UNK,,0,1,11000023,Loxton Parilla Sand,Loxton Sand,10825
10079539,GW003671.1.1,71.8,UNK,36.88,39.62,34.92,32.18,11000023,110007,110008,Sand,UNK,UNK,,0,1,11000023,Renmark Group,Renmark Group,16036
10079539,GW003671.1.1,71.8,UNK,39.62,40.23,32.18,31.57,11000023,110007,110008,Invalid Code,UNK,UNK,,0,1,11000023,Loxton Parilla Sand,Loxton Sand,10825
10079539,GW003671.1.1,71.8,UNK,39.62,40.23,32.18,31.57,11000023,110007,110008,Invalid Code,UNK,UNK,,0,1,11000023,Renmark Group,Renmark Group,16036
10079539,GW003671.1.1,71.8,UNK,40.23,44.2,31.57,27.6,11000023,110007,110008,Sand,UNK,UNK,,0,1,11000023,Loxton Parilla Sand,Loxton Sand,10825
10079539,GW003671.1.1,71.8,UNK,40.23,44.2,31.57,27.6,11000023,110007,110008,Sand,UNK,UNK,,0,1,11000023,Renmark Group,Renmark Group,16036
10079539,GW003671.1.1,71.8,UNK,44.2,48.77,27.6,23.03,11000023,110007,110008,Clay,UNK,UNK,,0,1,11000023,Loxton Parilla Sand,Loxton Sand,10825
10079539,GW003671.1.1,71.8,UNK,44.2,48.77,27.6,23.03,11000023,110007,110008,Clay,UNK,UNK,,0,1,11000023,Renmark Group,Renmark Group,16036
10079539,GW003671.1.1,71.8,UNK,48.77,63.09,23.03,8.71,11000023,110007,110008,Invalid Code,UNK,UNK,,0,1,11000023,Loxton Parilla Sand,Loxton Sand,10825
10079539,GW003671.1.1,71.8,UNK,48.77,63.09,23.03,8.71,11000023,110007,110008,Invalid Code,UNK,UNK,,0,1,11000023,Renmark Group,Renmark Group,16036
